BT1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
G***:2
H2:1
J1:1
J2:1
J3:1
J4:1
J5:1
J7:1
J9:1
L16:1
Q1:1
Q2:1
R1:1
R2:1
R25:1
R26:1
R28:1
R3:1
R30:1
R31:1
R32:1
R34:1
R4:1
R41:1
R42:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:4
SW2:1
SW3:1
U1:1
U2:1
U3:1
U4:1
X1:1
