G***:36
REF**:1
SW0:1
SW1:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
SWA1:1
SWB1:1
SWBrk1:1
SWBrk2:1
SWC1:1
SWComma1:1
SWCtl1:1
SWCtlCaps1:1
SWD1:1
SWDash1:1
SWE1:1
SWEqual1:1
SWEsc1:1
SWF1:1
SWFn1:1
SWFn2:1
SWFn3:1
SWFn4:1
SWG1:1
SWGT1:1
SWH1:1
SWI1:1
SWInv1:1
SWJ1:1
SWK1:1
SWL1:1
SWLT1:1
SWLeftSft1:1
SWM1:1
SWN1:1
SWO1:1
SWP1:1
SWPeriod1:1
SWPlus1:1
SWQ1:1
SWR1:1
SWRet1:1
SWRightSft1:1
SWS1:1
SWSemi1:1
SWSlash1:1
SWSpc1:1
SWStar1:1
SWT1:1
SWTab1:1
SWU1:1
SWV1:1
SWW1:1
SWX1:1
SWY1:1
SWZ1:1
