Comment,Designator,Footprint,JLCPCB Part #,Quantity
Potentiometer_CUI-PTN06-D02CB20,RV1,R_Potentiometer,,1
Molex_200528-0260_1x26-1MP_P1.00mm_Horizontal,J8,Conn_01x26,C60248,1
